Year,Region,Region_Code,Population_M,GDP_per_capita_Lakh,Urbanization_Rate,Devices_Per_Person,Recycling_Rate,Ewaste_Tons
2023,Madhya Pradesh,MP,79.06,3.89,63.67,2.32,19.16,163.41
2020,Madhya Pradesh,MP,75.57,5.45,63.49,3.16,13.12,308.31
2021,Chhattisgarh,CG,27.75,5.23,28.31,2.26,21.22,29.71
2017,Gujarat,GJ,58.83,1.35,64.54,1.74,14.24,32.02
2017,Rajasthan,RJ,61.87,1.94,45.19,2.65,21.13,43.28
2010,Gujarat,GJ,53.97,2.83,70.87,1.12,3.96,47.66
2017,Madhya Pradesh,MP,72.18,2.61,53.87,1.24,22.19,43.35
2018,Odisha,OR,46.25,4.63,46.65,0.83,13.05,32.07
2005,Mizoram,MZ,1.73,1.25,44.04,1.02,12.99,0.34
2021,Nagaland,NL,2.78,2.09,66.21,3.2,15.44,4.48
2013,Goa,GA,2.55,1.36,49.08,1.53,11.04,0.87
2021,Punjab,PB,31.97,2.4,45.21,0.98,14.65,12.58
2024,Rajasthan,RJ,67.38,6.61,72.34,2.99,13.16,314.94
2007,Madhya Pradesh,MP,63.39,2.25,62.15,0.86,5.65,28.18
2013,Kerala,KL,28.77,1.03,62.42,0.73,20.29,4.83
2021,Bihar,BR,109.4,3.28,73.73,2.08,24.23,190.29
2013,Jharkhand,JH,28.48,3.27,35.1,1.59,7.87,19.61
2016,Tripura,TR,3.92,0.99,23.22,0.64,10.46,0.23
2007,Meghalaya,ML,3.56,1.04,54.62,1.31,7.52,0.95
2022,Chhattisgarh,CG,28.46,3.89,50.37,2.64,18.21,51.75
2020,Gujarat,GJ,60.33,3.85,29.42,2.06,23.17,48.98
2006,Madhya Pradesh,MP,64.22,1.33,58.29,1.24,5.3,22.23
2016,Punjab,PB,30.43,3.47,46.01,0.73,7.35,12.95
2019,Punjab,PB,31.39,3.36,43.13,1.23,10.62,22.54
2005,Andhra Pradesh,AP,41.91,1.55,66.97,1.17,4.26,18.51
2009,Haryana,HR,28.73,1.7,26.93,1.42,12.76,6.24
2015,Himachal Pradesh,HP,12.97,1.77,45.04,2.33,12.42,7.83
2013,Rajasthan,RJ,59.39,3.75,28.27,0.39,10.37,9.63
2010,Tripura,TR,3.65,1.32,63.17,1.2,13.54,1.21
2018,West Bengal,WB,82.19,2.38,37.34,0.94,21.35,22.0
2007,Rajasthan,RJ,55.5,1.11,64.47,0.64,4.64,9.26
2005,Delhi,DL,13.55,1.84,53.12,0.57,8.89,2.8
2015,Mizoram,MZ,1.95,2.22,59.53,1.05,8.96,0.93
2024,Arunachal Pradesh,AR,2.87,5.69,48.92,1.3,20.19,3.25
2008,Telangana,TG,37.71,1.66,20.81,0.55,13.16,2.64
2024,Telangana,TG,46.47,6.62,63.65,0.95,25.71,63.47
2018,Jammu & Kashmir,JK,16.07,1.44,32.35,0.87,22.08,2.24
2008,Andhra Pradesh,AP,43.53,1.58,54.36,0.29,13.7,3.92
2019,Rajasthan,RJ,62.26,3.65,71.33,2.97,17.34,165.57
2005,Uttar Pradesh,UP,192.22,3.55,56.81,0.35,3.65,53.77
2007,Bihar,BR,94.93,2.88,24.57,0.74,13.62,16.1
2013,Assam,AS,30.16,1.78,65.77,1.73,17.16,23.06
2017,Mizoram,MZ,1.95,3.76,33.4,1.61,11.41,1.6
2024,Meghalaya,ML,4.33,5.46,29.97,3.41,12.41,8.17
2013,Meghalaya,ML,3.76,1.31,56.48,1.03,16.3,1.06
2010,Maharashtra,MH,111.03,3.14,24.99,0.57,10.05,17.56
2016,Manipur,MN,3.88,2.12,56.64,2.07,7.51,3.89
2013,Uttar Pradesh,UP,217.96,1.78,47.99,1.2,10.84,80.34
2019,Assam,AS,32.53,5.02,48.22,2.56,21.35,67.31
2018,Gujarat,GJ,59.49,1.48,50.59,2.33,15.4,33.11
2010,Nagaland,NL,2.45,1.18,67.84,1.6,15.33,0.99
2010,West Bengal,WB,74.35,1.7,50.67,0.45,4.97,11.93
2011,Tamil Nadu,TN,65.06,1.93,64.53,1.21,16.61,37.49
2020,Nagaland,NL,2.75,4.79,33.71,2.02,8.0,3.62
2014,Madhya Pradesh,MP,69.91,1.63,23.58,1.59,21.13,15.05
2017,Bihar,BR,106.21,4.1,51.49,2.17,19.13,180.27
2016,Sikkim,SK,2.0,2.2,64.06,2.24,14.0,2.17
2011,Tamil Nadu,TN,65.17,1.92,64.34,1.21,16.62,36.41
2007,Arunachal Pradesh,AR,2.3,0.82,69.62,1.33,7.88,0.64
2006,Andhra Pradesh,AP,43.46,0.89,54.68,0.68,14.4,4.77
2016,Tripura,TR,3.94,0.99,23.23,0.64,10.52,0.23
2012,Bihar,BR,97.54,2.93,61.96,0.6,16.07,38.06
2020,Delhi,DL,16.66,4.24,50.63,1.84,24.34,22.32
2021,Nagaland,NL,2.77,2.08,65.92,3.19,15.51,4.5
2013,Jharkhand,JH,28.52,3.27,35.16,1.59,7.85,19.32
2020,Assam,AS,32.31,4.97,25.12,1.03,8.89,15.19
2023,Punjab,PB,32.33,3.61,46.41,3.3,14.45,66.86
2019,Nagaland,NL,2.74,1.77,61.82,1.71,18.02,1.68
2008,Uttar Pradesh,UP,198.81,4.08,44.26,1.16,10.86,161.17
2019,Kerala,KL,31.23,3.56,44.93,3.05,19.63,51.59
2020,Manipur,MN,4.16,2.19,39.49,0.9,18.15,1.15
2018,Kerala,KL,30.28,3.77,47.06,2.71,10.78,57.34
2006,Manipur,MN,3.53,1.77,60.03,0.5,13.2,0.61
2017,Gujarat,GJ,58.63,1.34,64.73,1.74,14.24,31.82
2024,Chhattisgarh,CG,29.14,2.7,69.4,4.09,25.44,68.01
2011,Punjab,PB,28.73,0.87,69.73,1.11,14.56,7.21
2019,Jharkhand,JH,31.29,3.84,50.52,0.97,9.61,20.06
2007,Odisha,OR,40.57,0.75,58.32,0.69,18.34,4.42
2017,Punjab,PB,30.38,2.77,38.3,0.55,16.73,5.76
2006,Rajasthan,RJ,53.63,1.95,69.41,1.24,16.87,31.14
2023,Gujarat,GJ,62.9,4.71,50.97,1.98,17.03,97.84
2015,Tripura,TR,3.94,2.32,26.56,1.17,17.85,0.97
2023,Telangana,TG,44.63,5.84,50.49,1.05,21.64,44.98
2016,Telangana,TG,42.38,4.19,44.32,2.11,21.44,55.31
2017,Kerala,KL,30.36,1.19,32.32,2.07,8.94,8.84
2006,Jammu & Kashmir,JK,14.05,1.4,42.55,1.02,11.42,3.25
2008,Himachal Pradesh,HP,11.91,1.77,44.63,0.56,12.76,1.83
2016,Uttarakhand,UK,13.1,1.86,30.3,1.8,12.34,5.17
2014,Bihar,BR,102.64,1.86,43.78,0.83,17.41,26.61
2005,Jharkhand,JH,25.82,2.0,61.86,1.2,15.2,14.28
2022,Jharkhand,JH,32.42,5.67,60.42,1.34,18.12,57.36
2020,Rajasthan,RJ,63.79,2.07,73.02,0.56,18.79,18.34
2008,Chhattisgarh,CG,23.38,0.95,43.07,0.35,15.46,1.26
2024,Madhya Pradesh,MP,78.65,4.11,58.74,0.74,15.99,44.1
2023,Maharashtra,MH,131.02,7.03,73.87,2.49,24.13,507.69
2015,Uttar Pradesh,UP,219.97,2.95,73.38,1.0,17.83,168.46
2010,Bihar,BR,96.52,3.54,54.05,0.93,6.51,68.8
2023,Odisha,OR,48.47,5.8,68.49,3.77,19.52,236.65
2013,Bihar,BR,99.52,2.02,36.03,0.68,19.31,18.25
2019,Mizoram,MZ,2.0,3.12,30.84,1.5,9.01,1.08
2016,Mizoram,MZ,1.95,1.57,28.12,0.45,7.41,0.13
2008,Haryana,HR,28.53,2.48,39.66,0.77,17.0,7.8
2016,Jammu & Kashmir,JK,15.92,1.34,65.65,0.82,10.59,4.03
2008,Bihar,BR,94.2,3.17,23.28,0.45,6.52,11.61
2022,Nagaland,NL,2.82,1.79,38.44,0.65,22.43,0.47
2017,Karnataka,KA,58.91,2.49,35.17,0.97,20.23,16.98
2024,Bihar,BR,116.18,5.63,36.39,2.2,13.59,182.82
2005,Manipur,MN,3.46,0.83,21.08,0.78,10.19,0.17
2006,Tamil Nadu,TN,62.65,2.61,21.4,0.91,9.73,12.27
2006,Gujarat,GJ,50.93,1.14,68.18,1.08,3.36,18.51
2020,Telangana,TG,44.61,4.44,30.2,3.26,22.29,69.52
2014,Punjab,PB,29.16,3.18,50.36,0.46,10.97,7.7
2016,Gujarat,GJ,57.57,4.51,41.54,0.83,18.35,33.13
2009,Mizoram,MZ,1.82,2.26,36.6,0.32,12.35,0.18
2011,Goa,GA,2.41,2.02,41.54,1.63,18.03,1.07
2018,West Bengal,WB,82.2,2.37,37.36,0.94,21.51,21.69
2008,Tamil Nadu,TN,63.74,2.02,55.73,0.75,13.89,20.28
2011,Nagaland,NL,2.48,2.31,47.5,0.88,10.76,0.94
2022,Odisha,OR,47.76,2.62,69.04,1.89,13.36,57.25
2007,Jharkhand,JH,26.65,1.28,38.32,1.22,14.57,6.23
2021,Manipur,MN,4.11,2.91,64.93,1.87,18.5,4.8
2010,Jammu & Kashmir,JK,14.58,1.83,71.15,0.59,6.61,4.52
2006,Himachal Pradesh,HP,11.41,0.99,28.14,1.02,6.45,1.36
2013,Madhya Pradesh,MP,70.26,1.77,59.92,1.87,10.36,45.94
2018,Gujarat,GJ,59.16,1.48,50.7,2.35,15.33,33.11
2006,Kerala,KL,26.42,0.78,51.72,0.88,3.97,3.87
2022,Arunachal Pradesh,AR,2.85,1.55,64.43,1.53,16.0,1.55
2017,Sikkim,SK,2.02,2.16,49.12,1.04,12.04,0.79
2014,Bihar,BR,102.95,1.88,43.57,0.83,17.32,26.97
2019,Odisha,OR,45.6,3.32,42.76,2.13,19.59,50.62
2019,Odisha,OR,45.36,3.3,42.77,2.13,19.55,50.34
2008,Meghalaya,ML,3.51,1.98,58.77,0.74,19.07,1.14
2019,Himachal Pradesh,HP,13.38,3.71,35.3,1.45,10.76,8.53
2018,Mizoram,MZ,1.99,1.28,68.34,2.79,21.75,1.51
2016,Kerala,KL,30.11,1.87,36.62,1.76,8.7,15.44
2013,Kerala,KL,28.82,1.03,62.34,0.73,20.32,4.63
2019,Madhya Pradesh,MP,75.3,5.58,54.96,2.71,18.71,217.37
2010,Andhra Pradesh,AP,45.69,1.99,70.79,0.36,10.33,9.48
2005,Chhattisgarh,CG,22.53,1.44,49.7,0.62,6.25,3.81
2005,Rajasthan,RJ,54.65,2.38,65.61,0.22,9.76,7.72
2007,Tripura,TR,3.51,0.68,59.12,1.14,15.71,0.52
2017,Uttar Pradesh,UP,225.67,4.86,56.54,2.04,15.02,436.89
2019,Tripura,TR,4.13,1.36,28.48,1.83,9.19,1.2
2013,Manipur,MN,3.82,1.45,52.15,1.18,7.78,1.39
2015,Jharkhand,JH,29.91,1.64,59.92,1.22,12.86,13.87
2010,Rajasthan,RJ,57.94,1.6,60.76,0.97,9.95,19.61
2024,Mizoram,MZ,2.19,3.9,44.37,2.3,16.56,2.8
2014,Kerala,KL,29.66,2.18,69.06,1.73,8.64,28.99
2008,Maharashtra,MH,110.66,1.5,55.26,1.38,3.29,52.14
2005,Arunachal Pradesh,AR,2.31,1.04,23.76,1.1,17.2,0.23
2019,Goa,GA,2.7,2.07,61.43,2.34,15.46,3.05
2011,Nagaland,NL,2.47,2.31,47.59,0.88,10.67,0.93
2005,Haryana,HR,27.49,0.97,25.85,0.49,4.43,1.33
2014,Delhi,DL,15.27,1.0,68.48,1.37,5.72,5.05
2017,Rajasthan,RJ,61.67,1.93,45.02,2.66,21.12,44.77
2022,Tamil Nadu,TN,75.46,4.32,56.24,3.66,19.17,244.48
2006,Uttarakhand,UK,11.66,2.2,33.47,0.43,10.8,1.38
2009,Maharashtra,MH,108.57,1.76,26.63,0.27,5.19,5.85
2011,Mizoram,MZ,1.87,0.91,70.23,1.5,13.75,0.68
2008,Meghalaya,ML,3.51,1.99,58.92,0.74,19.17,1.11
2016,Chhattisgarh,CG,25.86,3.68,36.38,2.43,6.15,30.22
2021,Mizoram,MZ,2.1,1.52,72.93,2.36,20.04,2.02
2010,Himachal Pradesh,HP,11.98,1.12,23.95,0.64,8.26,0.82
2021,Assam,AS,33.48,4.37,42.33,2.26,21.43,42.85
2010,Jharkhand,JH,28.33,0.94,54.82,0.92,7.64,5.0
2018,Chhattisgarh,CG,26.83,3.59,38.3,1.56,12.27,21.85
2017,Punjab,PB,30.37,2.77,38.52,0.55,16.68,5.78
2005,Mizoram,MZ,1.73,1.25,44.26,1.02,12.94,0.34
2007,Mizoram,MZ,1.73,1.28,44.1,0.89,15.96,0.29
2012,Manipur,MN,3.76,1.43,36.99,1.48,5.22,1.05
2008,Karnataka,KA,54.55,0.79,51.34,1.07,17.51,8.46
2010,Goa,GA,2.43,1.89,62.56,0.62,3.55,0.76
2022,Bihar,BR,113.71,3.75,46.89,3.07,21.03,205.19
2012,Rajasthan,RJ,59.33,3.27,48.94,1.75,10.36,58.53
2013,Jammu & Kashmir,JK,14.96,2.11,45.26,1.55,19.7,7.17
2006,Tamil Nadu,TN,62.52,2.6,21.4,0.91,9.73,11.66
2012,Gujarat,GJ,54.67,2.03,29.31,0.52,16.45,5.88
2023,Uttar Pradesh,UP,244.04,10.35,60.87,1.98,16.53,1083.07
2023,Sikkim,SK,2.09,4.26,62.37,1.59,15.74,3.26
2018,Bihar,BR,105.93,2.81,66.7,0.54,9.55,40.73
2022,Goa,GA,2.82,3.61,44.49,0.89,20.29,1.45
2018,Sikkim,SK,2.03,4.11,28.18,2.73,18.5,2.48
2019,Telangana,TG,42.89,1.39,31.32,3.04,23.39,18.85
2015,Telangana,TG,41.74,2.7,57.69,2.12,17.98,49.02
2016,Madhya Pradesh,MP,73.07,1.81,36.86,1.9,20.52,30.8
2006,Tamil Nadu,TN,62.22,2.62,21.57,0.91,9.73,11.65
2012,Tamil Nadu,TN,64.77,1.88,30.12,1.16,5.54,15.02
2008,Sikkim,SK,1.73,1.52,60.66,1.38,16.85,0.74
2019,Delhi,DL,16.17,4.68,60.61,2.73,10.33,48.85
2021,Goa,GA,2.77,3.66,33.02,1.74,16.04,1.99
2022,Meghalaya,ML,4.19,2.52,31.72,3.31,20.04,3.74
2023,Haryana,HR,34.6,4.53,57.25,1.82,22.94,58.63
2008,Tamil Nadu,TN,63.86,2.02,56.05,0.75,13.84,20.08
2018,West Bengal,WB,82.75,2.36,37.21,0.94,21.51,22.17
2012,Maharashtra,MH,117.24,4.14,46.09,1.04,7.17,88.86
2020,West Bengal,WB,84.8,5.02,48.92,1.58,14.9,125.24
2008,Chhattisgarh,CG,23.45,0.95,42.68,0.35,15.4,1.25
2012,Odisha,OR,43.23,1.18,26.89,0.91,14.07,4.01
2012,Telangana,TG,39.1,2.14,48.86,1.04,12.26,15.58
2024,Punjab,PB,33.43,4.36,45.73,3.5,20.19,80.55
2012,Assam,AS,29.87,2.66,28.44,1.49,6.73,13.92
2011,Gujarat,GJ,53.2,1.18,49.24,0.94,11.87,9.91
2006,Bihar,BR,91.02,1.95,56.54,0.99,8.48,33.57
2015,Odisha,OR,44.32,2.41,47.67,1.24,7.53,24.77
2011,Jharkhand,JH,28.87,1.95,39.85,0.34,12.58,2.75
2008,Madhya Pradesh,MP,64.49,2.97,42.44,0.3,14.15,8.35
2010,Delhi,DL,14.46,1.73,46.74,1.32,19.67,5.67
2011,Jammu & Kashmir,JK,14.69,2.2,33.64,1.47,9.49,5.67
2017,Uttarakhand,UK,12.94,2.33,33.73,1.98,7.76,8.26
2005,Rajasthan,RJ,54.46,2.39,65.36,0.22,9.79,7.55
2024,Gujarat,GJ,61.7,6.11,54.94,3.81,25.26,280.35
2007,Manipur,MN,3.49,1.56,23.27,1.37,15.42,0.66
2008,Kerala,KL,27.51,1.93,49.64,1.12,13.96,10.43
2023,Telangana,TG,44.64,5.82,50.45,1.06,21.57,43.55
2023,Karnataka,KA,64.95,3.41,74.9,3.43,25.1,193.48
2014,Gujarat,GJ,55.38,3.22,55.14,1.9,12.81,67.22
2015,Haryana,HR,30.69,1.53,63.98,1.23,19.1,13.33
2017,Nagaland,NL,2.68,2.77,67.64,0.83,14.54,1.6
2021,Jammu & Kashmir,JK,16.34,1.95,44.21,3.1,12.77,16.99
2010,Karnataka,KA,54.74,1.51,34.4,1.21,9.83,12.19
2022,Haryana,HR,33.82,5.49,75.65,2.6,11.84,139.54
2021,Arunachal Pradesh,AR,2.75,3.16,28.78,1.85,18.09,1.53
2007,Uttarakhand,UK,11.76,1.58,41.15,0.85,13.32,2.36
2007,Goa,GA,2.32,1.54,35.51,0.9,7.55,0.39
2012,Uttarakhand,UK,12.54,1.69,58.11,0.79,4.34,3.72
2005,Assam,AS,27.16,1.28,64.69,0.72,8.56,6.66
2015,Karnataka,KA,58.23,1.62,49.56,1.85,12.07,35.38
2023,Maharashtra,MH,130.52,7.03,73.68,2.49,24.31,511.1
2009,Madhya Pradesh,MP,65.13,1.32,23.13,1.01,14.09,7.91
2014,Haryana,HR,30.73,3.54,57.85,0.56,20.41,12.43
2015,Telangana,TG,41.64,2.7,58.0,2.13,17.95,50.2
2015,Jharkhand,JH,29.96,1.63,60.09,1.22,12.79,13.93
2007,Madhya Pradesh,MP,63.64,2.25,62.56,0.86,5.62,28.16
2007,Rajasthan,RJ,55.38,1.11,64.97,0.64,4.64,9.71
2014,Gujarat,GJ,55.47,3.22,55.3,1.89,12.9,66.08
2009,Odisha,OR,40.98,0.92,64.52,0.35,11.03,2.97
2019,Arunachal Pradesh,AR,2.65,4.21,69.23,2.04,11.2,5.85
2015,Rajasthan,RJ,60.81,1.8,64.78,0.68,18.15,17.77
2019,Kerala,KL,31.22,3.55,44.92,3.04,19.71,50.52
2008,Delhi,DL,14.2,1.55,41.07,0.42,3.34,1.52
2024,Himachal Pradesh,HP,14.3,6.28,61.82,1.13,13.79,22.22
2017,West Bengal,WB,81.93,1.4,59.21,2.19,12.86,58.35
2015,Manipur,MN,3.88,2.83,33.77,1.09,16.84,1.29
2012,Nagaland,NL,2.54,2.62,72.1,0.76,6.16,1.41
2009,Punjab,PB,28.09,2.72,60.79,0.35,7.91,6.39
2018,Sikkim,SK,2.04,4.11,28.28,2.75,18.45,2.51
2018,Punjab,PB,31.19,1.92,26.86,1.29,10.86,7.96
2016,Maharashtra,MH,118.67,4.89,64.32,2.19,6.95,322.4
2015,Arunachal Pradesh,AR,2.6,1.37,33.68,0.46,11.4,0.22
2006,Haryana,HR,28.18,1.25,36.06,0.55,18.08,2.43
2019,Madhya Pradesh,MP,74.91,5.6,55.18,2.73,18.83,209.95
2022,Jharkhand,JH,32.38,5.67,60.42,1.34,18.11,57.13
2020,Gujarat,GJ,60.29,3.82,29.43,2.04,23.19,50.67
2010,Bihar,BR,97.29,3.56,54.23,0.93,6.47,69.59
2012,Punjab,PB,28.83,1.35,39.18,0.86,9.39,4.8
2017,Haryana,HR,32.04,2.05,25.93,0.9,17.97,5.85
2012,Jharkhand,JH,28.17,3.29,28.64,1.78,16.21,17.17
2012,Odisha,OR,43.14,1.17,26.98,0.91,14.11,4.03
2023,Sikkim,SK,2.11,4.27,62.0,1.59,15.85,3.22
2020,Chhattisgarh,CG,27.68,3.74,61.13,3.0,22.25,61.03
2014,Bihar,BR,102.62,1.86,43.38,0.83,17.4,27.18
2020,Jharkhand,JH,31.04,2.89,43.25,3.22,21.49,45.66
2014,Telangana,TG,41.36,3.12,31.65,0.93,19.17,12.84
2021,Nagaland,NL,2.79,2.09,66.5,3.2,15.54,4.36
2007,Gujarat,GJ,52.61,1.28,45.14,1.02,4.19,12.23
2012,Telangana,TG,39.36,2.13,48.86,1.04,12.27,16.41
2022,Gujarat,GJ,60.32,4.82,67.23,3.24,20.08,240.58
2008,Himachal Pradesh,HP,11.96,1.77,44.91,0.56,12.76,1.85
2014,Nagaland,NL,2.59,2.8,62.4,1.14,20.73,1.65
2023,Uttar Pradesh,UP,243.23,10.41,60.78,1.98,16.53,1095.82
2008,Mizoram,MZ,1.77,2.06,38.71,0.24,6.55,0.12
2015,Telangana,TG,41.49,2.68,57.94,2.13,17.89,49.96
2007,Tripura,TR,3.53,0.68,59.25,1.14,15.74,0.54
2012,Maharashtra,MH,116.24,4.14,46.14,1.04,7.17,87.7
2021,Assam,AS,33.24,4.38,42.31,2.24,21.4,43.18
2005,Himachal Pradesh,HP,11.22,1.93,29.73,0.24,10.19,0.62
2018,Punjab,PB,31.14,1.92,26.93,1.29,10.89,7.67
2023,Maharashtra,MH,130.54,6.99,73.43,2.47,24.22,526.81
2007,West Bengal,WB,72.03,0.98,61.78,0.32,10.76,4.74
2023,West Bengal,WB,86.16,4.28,38.58,3.47,17.04,186.74
2010,Delhi,DL,14.48,1.73,46.45,1.32,19.59,5.79
2024,Himachal Pradesh,HP,14.37,6.31,61.77,1.13,13.9,22.69
2014,Uttar Pradesh,UP,216.09,1.94,42.83,1.32,6.07,93.93
2023,Nagaland,NL,2.85,2.47,33.88,2.18,13.98,1.72
2020,Meghalaya,ML,4.1,1.32,74.94,1.92,16.35,2.66
2017,Chhattisgarh,CG,26.71,2.83,45.34,1.55,20.05,17.0
2009,Chhattisgarh,CG,24.08,2.0,46.64,0.57,7.95,4.76
2009,Nagaland,NL,2.4,2.11,27.6,0.29,10.93,0.13
2010,Karnataka,KA,54.56,1.53,34.55,1.21,9.78,12.05
2017,Bihar,BR,106.86,4.11,51.35,2.18,18.99,184.7
2013,Sikkim,SK,1.92,1.51,30.04,1.37,19.32,0.41
2017,Jharkhand,JH,30.37,1.52,35.79,2.23,15.96,12.11
2018,Meghalaya,ML,4.07,2.14,50.06,2.84,10.82,4.37
2007,Goa,GA,2.31,1.55,35.24,0.9,7.55,0.39
2008,Tripura,TR,3.51,1.16,49.16,0.77,3.69,0.56
2016,Jammu & Kashmir,JK,15.86,1.33,65.65,0.82,10.55,4.05
2016,Nagaland,NL,2.58,2.19,72.98,2.31,22.29,3.29
2005,Assam,AS,27.17,1.29,65.21,0.72,8.58,6.61
